# Larch Linear Arrays for 05 best results
# Dataset filename: S400_T30_C_57scans_CAL.nor 
# Larch group: s400_t30_c 
# Array name: mu
# Energy fit range: [12272.000000, 12362.000000]
#---------------------------------
#   energy           data             fit_00           fit_01           fit_02           fit_03           fit_04         
  12272.0000000    0.00071052120    0.00042326167    0.00045962362    0.00023827163    0.00021896230    0.00024698823
  12272.5000000    0.00064863581    0.00048859304    0.00052923543    0.00028928928    0.00027479469    0.00029897154
  12273.0000000    0.00077550973    0.00054692004    0.00057566549    0.00034761327    0.00032831335    0.00034294263
  12273.5000000    0.00095404460    0.00057891563    0.00063893063    0.00036235383    0.00034246766    0.00036219438
  12274.0000000    0.00110659870    0.00057533090    0.00063935960    0.00038298524    0.00036258995    0.00039813857
  12274.5000000    0.00113540530    0.00073139898    0.00081899473    0.00049221266    0.00046548000    0.00050157473
  12275.0000000    0.00121180930    0.00081977455    0.00088487871    0.00057436328    0.00055626509    0.00058629522
  12275.5000000    0.00152718580    0.00099080676    0.00106250641    0.00070193097    0.00068585916    0.00071411276
  12276.0000000    0.00211001940    0.00115845585    0.00119852790    0.00089385064    0.00087372905    0.00090268978
  12276.5000000    0.00160638290    0.00122896716    0.00129411926    0.00098943077    0.00097472424    0.00101713624
  12277.0000000    0.00188560360    0.00137154337    0.00143452939    0.00115067448    0.00112757769    0.00117451107
  12277.5000000    0.00231940080    0.00165656339    0.00173615584    0.00141407284    0.00140609052    0.00143632348
  12278.1000000    0.00289788090    0.00210555607    0.00211789380    0.00187465001    0.00185649203    0.00189840418
  12278.5000000    0.00312987180    0.00242474202    0.00247776998    0.00214925743    0.00213243269    0.00217583112
  12279.0000000    0.00334989280    0.00282766337    0.00284337164    0.00257214432    0.00254561443    0.00259684518
  12279.5000000    0.00419220040    0.00359941298    0.00352638995    0.00331007849    0.00326256420    0.00333733578
  12280.0000000    0.00573190010    0.00446856948    0.00431481118    0.00417226829    0.00409791464    0.00418042684
  12280.5000000    0.00668429280    0.00537840141    0.00538064367    0.00492413187    0.00485143255    0.00492907264
  12281.0000000    0.00858748840    0.00703380838    0.00695323232    0.00641077294    0.00628198390    0.00642570655
  12281.5000000    0.01189164100    0.00950353425    0.00941492976    0.00863719115    0.00845716493    0.00858915723
  12282.0000000    0.01678852400    0.01278108584    0.01241952765    0.01181387197    0.01150537700    0.01171036316
  12282.5000000    0.02406257300    0.01727037933    0.01685411498    0.01613786696    0.01564114434    0.01592449451
  12283.0000000    0.03411638200    0.02561300831    0.02405956173    0.02461244076    0.02373162721    0.02405721926
  12283.5000000    0.05218459900    0.03811954049    0.03581197227    0.03716142748    0.03564079562    0.03621036081
  12284.0000000    0.07852813200    0.05903660190    0.05401832180    0.05869017398    0.05633128413    0.05690047252
  12284.5000000    0.12742520000    0.09654185905    0.08754202011    0.09813729582    0.09445704407    0.09549177867
  12285.0000000    0.19389502000    0.15190092743    0.14047433236    0.15601809472    0.15123247080    0.15289818636
  12285.5000000    0.27035762000    0.23323378241    0.21754385306    0.23902854217    0.23398909527    0.23627685052
  12286.1000000    0.36218466000    0.34657770656    0.33507630133    0.35785454093    0.35570177615    0.35925664564
  12286.5000000    0.43500139000    0.42197277617    0.41643336756    0.43371077006    0.43491907516    0.43915783542
  12287.0000000    0.50053426000    0.51366490354    0.51120020039    0.51585411856    0.52132537594    0.52586471481
  12287.5000000    0.54503484000    0.56789504619    0.56140829522    0.56187582483    0.56941356107    0.57438742592
  12288.0000000    0.56914035000    0.58420858961    0.57491077875    0.56909056497    0.57615974820    0.58222918683
  12288.5000000    0.57189134000    0.57952094356    0.56589903111    0.56135088160    0.56659673110    0.57414047124
  12289.0000000    0.55765001000    0.56806579377    0.55873504623    0.54954088702    0.55288072870    0.56188250402
  12289.5000000    0.56147342000    0.56191310699    0.55869174525    0.54490602549    0.54716944413    0.55666618441
  12290.0000000    0.55508639000    0.56466508949    0.56393290536    0.55280106597    0.55380839912    0.56307116600
  12290.5000000    0.56880681000    0.57349623873    0.57295231485    0.56716515470    0.56658020420    0.57617604124
  12291.0000000    0.57906022000    0.58332257862    0.58250510626    0.58036499318    0.57758959756    0.58772424739
  12291.5000000    0.59809346000    0.60115787847    0.59981368818    0.60086438591    0.59601184393    0.60689425407
  12292.0000000    0.62873854000    0.62631138655    0.62646791752    0.62751123133    0.62123065957    0.63305061021
  12292.5000000    0.66011292000    0.65972203692    0.65740248686    0.66475759939    0.65753784480    0.66917963396
  12293.0000000    0.69062187000    0.69566552587    0.69166343381    0.70443324331    0.69668322673    0.70705638757
  12293.6000000    0.72627779000    0.74223145295    0.73580122492    0.75565393024    0.74881747953    0.75666989391
  12294.0000000    0.75381700000    0.77001299678    0.76134757114    0.78598170587    0.77997456383    0.78586752092
  12294.5000000    0.78474397000    0.80104067686    0.79133479802    0.81470294583    0.80985337422    0.81357446773
  12295.0000000    0.81769693000    0.82755985660    0.81764126894    0.83493575987    0.83144934754    0.83387429486
  12295.5000000    0.83880588000    0.84946960719    0.83836342580    0.84894714612    0.84675528938    0.84889738610
  12296.0000000    0.85955018000    0.86434988034    0.85576794227    0.85413039724    0.85264288070    0.85482546124
  12296.5000000    0.86675145000    0.87439936796    0.86944706896    0.85577185179    0.85484138675    0.85757208000
  12297.0000000    0.87426826000    0.87719717885    0.87452723576    0.85540183960    0.85424649253    0.85702478717
  12297.5000000    0.87687461000    0.87506773940    0.87628499811    0.85474967362    0.85307639989    0.85546275752
  12298.0000000    0.87215059000    0.87208137063    0.87559750840    0.85607703113    0.85402921668    0.85609171234
  12298.5000000    0.86753062000    0.86501911688    0.87510791111    0.85415437469    0.85229796956    0.85408681251
  12299.0000000    0.86020856000    0.86423338702    0.87311607870    0.85915880203    0.85739930212    0.85853044555
  12299.5000000    0.85917432000    0.85923419573    0.87190573021    0.85827609155    0.85637001333    0.85691725063
  12300.0000000    0.85234352000    0.86205817170    0.87157243946    0.86694603903    0.86546878867    0.86523957991
  12300.5000000    0.84628432000    0.86038589404    0.87234700381    0.86865117876    0.86732833352    0.86679290407
  12301.0000000    0.85047469000    0.86494941407    0.87303871582    0.87798516473    0.87678607142    0.87552329141
  12301.6000000    0.85132375000    0.86918116741    0.87490585489    0.88526273572    0.88402543493    0.88225708564
  12302.0000000    0.85598140000    0.87096594531    0.87535691502    0.88896587836    0.88747787675    0.88608791349
  12302.5000000    0.86177910000    0.87185250515    0.87881292890    0.88963400378    0.88799570003    0.88658469417
  12303.0000000    0.86959155000    0.87686248500    0.88471418108    0.89247547577    0.89093621528    0.88927357699
  12303.5000000    0.88294234000    0.88320158610    0.88882901393    0.89978796347    0.89813282939    0.89643436062
  12304.0000000    0.89292760000    0.89003203061    0.89705498507    0.90308288030    0.90159876824    0.89997351693
  12304.5000000    0.89753257000    0.90348893962    0.90899054064    0.91389346461    0.91205626403    0.90970532211
  12305.0000000    0.91771134000    0.90893084554    0.91802257449    0.91585809422    0.91405318135    0.91102998648
  12305.5000000    0.93096918000    0.91728616116    0.92836817549    0.91953914570    0.91775571487    0.91474256441
  12306.0000000    0.94724154000    0.92842808338    0.94176304420    0.92530539199    0.92331332126    0.92044634696
  12306.5000000    0.95510994000    0.94062116473    0.95271242695    0.93474578332    0.93307155975    0.93041348299
  12307.0000000    0.96570229000    0.94903307577    0.96155248539    0.93968624860    0.93788873010    0.93597001187
  12307.5000000    0.97462203000    0.95940464005    0.97074199340    0.94803791229    0.94649867498    0.94523674221
  12308.0000000    0.97337376000    0.96745741991    0.98045832430    0.95421897786    0.95299305339    0.95280779312
  12308.5000000    0.98261545000    0.97510766892    0.98643835679    0.96132947317    0.96019613043    0.96166457139
  12309.0000000    0.98380684000    0.98210517561    0.99445878463    0.96776633285    0.96701429146    0.96987317043
  12309.6000000    0.98805153000    0.99069011259    1.00003791202    0.97759119019    0.97716824456    0.98067335706
  12310.0000000    0.99280671000    0.99617031624    1.00489226810    0.98269627331    0.98268225281    0.98659692937
  12310.5000000    0.99813400000    1.00291348224    1.01182291359    0.98804254457    0.98857977656    0.99314779645
  12311.0000000    1.00381420000    1.00791141855    1.01767565459    0.99230055337    0.99276484015    0.99809738755
  12311.5000000    1.00687260000    1.01195826538    1.02260409975    0.99590940919    0.99693315950    1.00184773127
  12312.0000000    1.01165330000    1.01532753802    1.02806689481    0.99920485595    1.00023322894    1.00463381642
  12312.5000000    1.01489340000    1.02011555041    1.03257286168    1.00365099784    1.00486646401    1.00862705814
  12313.0000000    1.01600600000    1.02349559671    1.03551255963    1.00812033268    1.00940558251    1.01180809264
  12313.5000000    1.02474150000    1.02588315324    1.03835899163    1.01313208720    1.01437478974    1.01539028508
  12314.0000000    1.02415960000    1.02637217780    1.03542601888    1.01771756004    1.01889259213    1.01920284417
  12314.5000000    1.02436560000    1.02420539024    1.03298207041    1.01913727981    1.02038949224    1.01915812692
  12315.0000000    1.02528200000    1.02390881661    1.03116520677    1.02439022601    1.02573790584    1.02354376838
  12315.5000000    1.02475550000    1.02260030896    1.02908819810    1.02610233484    1.02749410953    1.02454647198
  12316.0000000    1.03093380000    1.02028592750    1.02556803865    1.02691476844    1.02823289325    1.02374957921
  12316.5000000    1.02934470000    1.02182581057    1.02286578427    1.03582321403    1.03730159022    1.03211296713
  12317.0000000    1.02685680000    1.02039300990    1.01989014844    1.03705274176    1.03817924796    1.03259405962
  12317.6000000    1.03292370000    1.02617862988    1.02449957991    1.04400826482    1.04538177584    1.03912651568
  12318.0000000    1.03287740000    1.02491428887    1.02250881967    1.04292949903    1.04365759929    1.03786388845
  12318.5000000    1.03603030000    1.02955349757    1.02436004971    1.04848102078    1.04922207861    1.04361216731
  12319.0000000    1.04179930000    1.03230696334    1.02631850110    1.04882029665    1.04996967220    1.04398704373
  12319.5000000    1.04769450000    1.03265683458    1.02740939764    1.04763335407    1.04855233045    1.04300794270
  12320.0000000    1.05016060000    1.03894231909    1.03182856361    1.05166784165    1.05286413617    1.04782263973
  12320.5000000    1.05215770000    1.04245965036    1.03616239149    1.05203908849    1.05322661347    1.04835044454
  12321.0000000    1.05955310000    1.04335761438    1.03888366259    1.05043826846    1.05186708235    1.04700575938
  12321.5000000    1.06073620000    1.04372317002    1.03835360160    1.04818860329    1.04925811543    1.04459538737
  12322.0000000    1.06030370000    1.04777920706    1.04214565715    1.05060657666    1.05219416595    1.04788522086
  12322.5000000    1.06074650000    1.04918332708    1.04279501743    1.05075192296    1.05263019321    1.04852282630
  12323.0000000    1.05835850000    1.05050923225    1.04339815471    1.05126021026    1.05312236474    1.04954155755
  12323.5000000    1.05420370000    1.05495249985    1.04609619413    1.05522818001    1.05725908786    1.05376087767
  12324.0000000    1.06187670000    1.05226506590    1.04537385699    1.04920027992    1.05107632259    1.04789838426
  12324.5000000    1.05972650000    1.05214491358    1.04417104670    1.04981861182    1.05158350366    1.04879297036
  12325.1000000    1.05563450000    1.05313362350    1.04431714819    1.04981165984    1.05150252028    1.04926068490
  12325.5000000    1.05334410000    1.05415676491    1.04505803122    1.04958518084    1.05158908278    1.04979993818
  12326.0000000    1.05610170000    1.05223547252    1.04353025470    1.04638367720    1.04821559203    1.04716124469
  12326.5000000    1.05774930000    1.05343743097    1.04462460117    1.04721414844    1.04851888514    1.04758499900
  12327.0000000    1.05576510000    1.05376037636    1.04519526388    1.04686715915    1.04831835465    1.04793861972
  12327.5000000    1.04931280000    1.05176098685    1.04573286548    1.04308356965    1.04474161489    1.04518992682
  12328.0000000    1.04485210000    1.05096666463    1.04493032436    1.04322826525    1.04496330300    1.04558385019
  12329.3000000    1.03994570000    1.04629596513    1.03861754761    1.04033802287    1.04177686135    1.04344013475
  12332.0000000    1.03439580000    1.04528834157    1.03769687436    1.03631333226    1.03804972942    1.03960560067
  12333.5000000    1.03521420000    1.03819502616    1.03198268923    1.02998971660    1.03134853544    1.03254267730
  12334.7000000    1.02987550000    1.03397608805    1.02805917621    1.02722479095    1.02831834242    1.02924941229
  12336.2000000    1.02227970000    1.02605386524    1.01975901618    1.02217006762    1.02295960718    1.02351931146
  12337.6000000    1.00339710000    1.01780139807    1.00898149204    1.01841840383    1.01911941331    1.01898247647
  12339.0000000    0.99742955000    1.00742638998    0.99680447263    1.01325324464    1.01378256116    1.01314231885
  12340.5000000    0.99028302000    0.99894824186    0.98758943574    1.00839196442    1.00894737332    1.00794599982
  12342.0000000    0.98070984000    0.99038037463    0.97933219944    0.99997226323    1.00031414046    0.99918981657
  12343.4000000    0.97205106000    0.98554629355    0.97627689203    0.99412863445    0.99434800843    0.99328234498
  12345.0000000    0.97511650000    0.97817626342    0.97125907755    0.98409778727    0.98420109126    0.98303339405
  12346.6000000    0.96710592000    0.97718294091    0.97223961098    0.98030332225    0.98041732464    0.97904880034
  12348.1000000    0.96450535000    0.97257677261    0.96914803739    0.97468477801    0.97497384669    0.97347215398
  12349.8000000    0.95796873000    0.96526342554    0.96322935405    0.96901316948    0.96928199578    0.96737849459
  12351.2000000    0.96181018000    0.96073959180    0.95870350219    0.96798994908    0.96783991347    0.96563378632
  12352.8000000    0.95795916000    0.95375147552    0.95277136112    0.96205569346    0.96144604742    0.95927716213
  12354.6000000    0.96306710000    0.95427279681    0.95343446025    0.96448769066    0.96421688291    0.96243220140
  12356.2000000    0.96873835000    0.96123088017    0.96202201034    0.96799295999    0.96798549646    0.96645384295
  12357.9000000    0.96981969000    0.96968020257    0.97118234523    0.97376287436    0.97388407180    0.97234439859
  12359.4000000    0.98794287000    0.97470661975    0.97921610563    0.97498214674    0.97525304056    0.97420727768
  12361.2000000    0.98960309000    0.98351935050    0.98934468346    0.97959637451    0.98011182542    0.97925031943
